,Unnamed: 0,currency,name,gasoline,midGrade,premium,diesel,Unnamed: 0,Rank,Average Temperature ▼,State / Population,State,EV Registration Count,TotalRegCount,StatePopulations,EVRegPer1000residents,EVRegPercTotalReg,EVper1000TotalReg,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,0.0,usd,Alaska,4.603,4.795,4.987,4.465,7.0,7.0,62.68°F,"Alabama / 4,817,678",Alabama,8730,2059138.9687760035,4817678,1.8120762740888867,0.004239636145193882,4.239636145193882,,,,,
1,1.0,usd,Alabama,3.419,3.811,4.19,4.143,51.0,51.0,32.03°F,"Alaska / 728,300",Alaska,1970,141093.36233301714,728300,2.7049292873815736,0.01396238609262345,13.96238609262345,,,,,
2,2.0,usd,Arkansas,3.414,3.803,4.155,4.091,4.0,4.0,65.97°F,"Arizona / 6,561,516",Arizona,65780,2258487.5448044846,6561516,10.025122243091383,0.029125686414044193,29.125686414044193,,,,,
3,3.0,usd,Arizona,4.332,4.622,4.911,4.695,12.0,12.0,60.09°F,"Arkansas / 2,947,036",Arkansas,5140,958639.3060487763,2947036,1.7441252838445136,0.00536176637820698,5.36176637820698,,,,,
4,4.0,usd,California,5.294,5.503,5.655,5.883,10.0,10.0,61.17°F,"California / 38,066,920",California,903620,14268528.113177458,38066920,23.737670397289826,0.06332958752525265,63.329587525252656,,,,,
5,5.0,usd,Colorado,3.97,4.35,4.646,4.302,41.0,41.0,46.26°F,"Colorado / 5,197,580",Colorado,59910,1496309.6979349602,5197580,11.526518110351356,0.04003850277965925,40.038502779659254,,,,,
6,6.0,usd,Connecticut,3.805,4.286,4.671,4.423,35.0,35.0,48.60°F,"Connecticut / 3,592,053",Connecticut,22030,1119277.6497481181,3592053,6.132983004426717,0.019682337090316797,19.682337090316796,,,,,
7,7.0,usd,District of Columbia,3.972,4.54,4.885,4.606,22.0,22.0,54.48°F,"Delaware / 917,060",Delaware,5390,177980.04948083634,917060,5.877478027609971,0.030284293187480868,30.284293187480866,,,,,
8,8.0,usd,Delaware,3.622,4.13,4.389,4.259,18.0,18.0,54.73°F,"District of Columbia / 633,736",District of Columbia,5860,199249.49000278267,633736,9.246752590984258,0.029410363860495507,29.410363860495508,,,,,
9,9.0,usd,Florida,3.701,4.096,4.418,4.437,2.0,2.0,71.80°F,"Florida / 19,361,792",Florida,167990,7853979.2406774275,19361792,8.67636631981172,0.021389157629796637,21.38915762979664,,,,,
10,10.0,usd,Georgia,3.603,4.006,4.389,4.297,8.0,8.0,62.30°F,"Georgia / 9,907,756",Georgia,60120,3525144.548899592,9907756,6.06797341395973,0.017054619793893853,17.054619793893853,,,,,
11,11.0,usd,Hawaii,4.784,5.0,5.234,5.707,1.0,1.0,72.95°F,"Hawaii / 1,392,704",Hawaii,19760,463873.50077695824,1392704,14.18822664399614,0.04259782023957668,42.59782023957668,,,,,
12,12.0,usd,Iowa,3.597,3.864,4.341,4.246,40.0,40.0,46.32°F,"Idaho / 1,599,464",Idaho,5940,569964.4036643858,1599464,3.713744104274932,0.010421703463954693,10.421703463954694,,,,,
13,13.0,usd,Idaho,4.159,4.38,4.622,4.737,27.0,27.0,51.37°F,"Illinois / 12,868,747",Illinois,66880,4117589.389216722,12868747,5.197087175620128,0.0162425131984135,16.2425131984135,,,,,
14,14.0,usd,Illinois,4.071,4.579,5.003,4.364,26.0,26.0,51.81°F,"Indiana / 6,542,411",Indiana,17710,2064554.4292274183,6542411,2.7069531400580003,0.008578122111620618,8.578122111620617,,,,,
15,15.0,usd,Indiana,3.689,4.186,4.633,4.511,38.0,38.0,48.14°F,"Iowa / 3,078,116",Iowa,6220,1129061.0195546185,3078116,2.020716568186514,0.0055090025182639,5.5090025182639,,,,,
16,16.0,usd,Kansas,3.568,3.872,4.175,4.091,20.0,20.0,54.68°F,"Kansas / 2,882,946",Kansas,7550,856988.6740653998,2882946,2.6188489135765987,0.00880991806365907,8.809918063659069,,,,,
17,17.0,usd,Kentucky,3.499,3.958,4.365,4.197,16.0,16.0,55.62°F,"Kentucky / 4,383,272",Kentucky,7560,1567434.9216523396,4383272,1.7247389621269227,0.00482316675197621,4.82316675197621,,,,,
18,18.0,usd,Louisiana,3.388,3.747,4.109,4.008,3.0,3.0,66.74°F,"Louisiana / 4,601,049",Louisiana,5880,1279501.4339376276,4601049,1.2779694369696997,0.0045955399845895245,4.595539984589524,,,,,
19,19.0,usd,Massachusetts,3.759,4.271,4.606,4.395,48.0,48.0,43.09°F,"Maine / 1,328,535",Maine,4990,415724.5544028758,1328535,3.7560169660565963,0.012003139932803261,12.003139932803261,,,,,
20,20.0,usd,Maryland,3.693,4.227,4.475,4.36,21.0,21.0,54.61°F,"Maryland / 5,887,776",Maryland,46060,2076393.394228471,5887776,7.822987831058789,0.022182694343002664,22.182694343002662,,,,,
21,21.0,usd,Maine,3.837,4.237,4.638,4.386,37.0,37.0,48.14°F,"Massachusetts / 6,657,291",Massachusetts,49440,1980433.4850940907,6657291,7.426444179772223,0.02496423150391799,24.96423150391799,,,,,
22,22.0,usd,Michigan,3.739,4.214,4.692,4.427,39.0,39.0,46.64°F,"Michigan / 9,889,024",Michigan,33150,2894828.1771043334,9889024,3.3522013901472985,0.011451456864413833,11.451456864413833,,,,,
23,23.0,usd,Minnesota,3.644,3.978,4.367,4.327,49.0,49.0,42.98°F,"Minnesota / 5,383,661",Minnesota,24330,1729997.195176298,5383661,4.519229572590102,0.014063606616148654,14.063606616148654,,,,,
24,24.0,usd,Missouri,3.495,3.809,4.134,4.015,6.0,6.0,63.50°F,"Mississippi / 2,984,345",Mississippi,2420,893598.2445304767,2984345,0.8108982037934622,0.0027081521419858434,2.708152141985843,,,,,
25,25.0,usd,Mississippi,3.305,3.68,4.034,3.972,19.0,19.0,54.70°F,"Missouri / 6,028,076",Missouri,17870,1916496.8339959097,6028076,2.9644616292163537,0.009324304472103365,9.324304472103366,,,,,
26,26.0,usd,Montana,4.0,4.301,4.595,4.545,45.0,45.0,44.18°F,"Montana / 1,006,370",Montana,3260,463650.9533246263,1006370,3.239365243399545,0.0070311512930665825,7.031151293066583,,,,,
27,27.0,usd,North Carolina,3.542,3.927,4.298,4.268,31.0,31.0,49.88°F,"Nebraska / 1,855,617",Nebraska,4570,604899.7371486156,1855617,2.4627926991399627,0.007554971046180523,7.554971046180523,,,,,
28,28.0,usd,North Dakota,3.728,4.035,4.329,4.228,15.0,15.0,57.30°F,"Nevada / 2,761,584",Nevada,32950,1051676.6874952973,2761584,11.93155812026721,0.031330921747894445,31.330921747894447,,,,,
29,29.0,usd,Nebraska,3.593,3.789,4.231,4.159,44.0,44.0,44.49°F,"New Hampshire / 1,321,069",New Hampshire,6990,458140.9954472007,1321069,5.291169499852014,0.015257311765293824,15.257311765293824,,,,,
30,30.0,usd,New Hampshire,3.717,4.128,4.538,4.285,25.0,25.0,51.93°F,"New Jersey / 8,874,374",New Jersey,87030,2535248.2432167907,8874374,9.806888914080025,0.03432799933215771,34.32799933215771,,,,,
31,31.0,usd,New Jersey,3.669,4.209,4.478,4.334,24.0,24.0,53.07°F,"New Mexico / 2,080,085",New Mexico,7080,619689.6802698197,2080085,3.4037070600480273,0.011425073267183165,11.425073267183166,,,,,
32,32.0,usd,New Mexico,3.785,4.149,4.436,4.343,36.0,36.0,48.17°F,"New York / 19,594,330",New York,84670,3112029.611099048,19594330,4.321148005571,0.027207324666200024,27.207324666200023,,,,,
33,33.0,usd,Nevada,4.514,4.764,5.006,4.851,13.0,13.0,58.70°F,"North Carolina / 9,750,405",North Carolina,45590,3280487.068238955,9750405,4.6757032143793005,0.013897326540742567,13.897326540742567,,,,,
34,34.0,usd,New York,3.906,4.361,4.714,4.595,50.0,50.0,40.80°F,"North Dakota / 704,925",North Dakota,640,212291.80577406386,704925,0.907898003333688,0.003014718338592559,3.014718338592559,,,,,
35,35.0,usd,Ohio,3.61,4.039,4.488,4.446,29.0,29.0,50.88°F,"Ohio / 11,560,380",Ohio,34060,4086520.899070961,11560380,2.9462699323032635,0.008334718172551932,8.334718172551932,,,,,
36,36.0,usd,Oklahoma,3.518,3.834,4.102,4.06,11.0,11.0,60.14°F,"Oklahoma / 3,818,851",Oklahoma,16290,1056366.5776049825,3818851,4.265680960058405,0.015420783225585426,15.420783225585426,,,,,
37,37.0,usd,Oregon,4.771,4.956,5.176,5.032,28.0,28.0,51.27°F,"Oregon / 3,900,343",Oregon,46980,1357126.499915782,3900343,12.045094495535393,0.0346172593364844,34.6172593364844,,,,,
38,38.0,usd,Pennsylvania,3.881,4.272,4.575,4.691,32.0,32.0,49.80°F,"Pennsylvania / 12,758,729",Pennsylvania,47440,3917586.210452538,12758729,3.7182387054384494,0.012109497392405818,12.109497392405817,,,,,
39,39.0,usd,Rhode Island,3.746,4.351,4.684,4.361,34.0,34.0,49.27°F,"Rhode Island / 1,053,252",Rhode Island,4340,338350.5966472798,1053252,4.120571335255001,0.012826931718179642,12.826931718179642,,,,,
40,40.0,usd,South Carolina,3.483,3.868,4.228,4.253,9.0,9.0,61.70°F,"South Carolina / 4,727,273",South Carolina,13490,1919529.2071378701,4727273,2.85365368151998,0.007027764907059881,7.027764907059881,,,,,Data Source: 
41,41.0,usd,South Dakota,3.752,3.913,4.384,4.233,42.0,42.0,45.54°F,"South Dakota / 834,708",South Dakota,1170,317696.59253930184,834708,1.4016877758449662,0.003682759045819041,3.6827590458190413,,,,,Vehicle registration counts derived by the National Renewable Energy Laboratory with data from Experian Information Solutions
42,42.0,usd,Tennessee,3.447,3.837,4.193,4.183,14.0,14.0,58.11°F,"Tennessee / 6,451,365",Tennessee,22040,2346546.716604491,6451365,3.4163312725291473,0.009392525554271685,9.392525554271685,,,,,
43,43.0,usd,Texas,3.417,3.808,4.141,3.993,5.0,5.0,65.97°F,"Texas / 26,092,033",Texas,149000,7784066.728915376,26092033,5.71055540210301,0.01914166530028726,19.141665300287258,,,,,Notes: 
44,44.0,usd,Utah,4.316,4.54,4.742,4.744,33.0,33.0,49.55°F,"Utah / 2,858,111",Utah,28050,990756.342049127,2858111,9.814174466981862,0.028311703705056004,28.311703705056004,,,,,Only all-electric vehicles are included in this chart; plug-in hybrid electric vehicles (PHEVs) are not included.
45,45.0,usd,Virginia,3.615,4.022,4.36,4.288,46.0,46.0,43.74°F,"Vermont / 626,358",Vermont,5260,180025.4985010645,626358,8.397753361496141,0.029218083237074872,29.21808323707487,,,,,Registration counts are approximate.
46,46.0,usd,Vermont,3.808,4.218,4.619,4.346,17.0,17.0,55.54°F,"Virginia / 8,185,131",Virginia,56610,2978390.890152471,8185131,6.916199630769501,0.019006907450318584,19.006907450318586,,,,,"California had approximately 903,620 light-duty electric vehicle registrations in 2022, but the chart is cut off at 200,000 to make it easier to see the other states."
47,47.0,usd,Washington,5.109,5.333,5.531,5.507,30.0,30.0,50.47°F,"Washington / 6,899,123",Washington,104050,2977073.9788036803,6899123,15.081627041581951,0.03495042472602978,34.95042472602978,,,,,
48,48.0,usd,Wisconsin,3.597,4.048,4.483,4.239,23.0,23.0,53.08°F,"West Virginia / 1,853,881",West Virginia,1870,359429.67017915833,1853881,1.008694732833445,0.0052026867984156545,5.202686798415654,,,,,Worksheet available at afdc.energy.gov/data
49,49.0,usd,West Virginia,3.654,4.0,4.332,4.29,43.0,43.0,44.71°F,"Wisconsin / 5,724,692",Wisconsin,15700,1825449.5649958292,5724692,2.742505623009937,0.008600621074971124,8.600621074971125,,,,,Last updated July 2023
50,50.0,usd,Wyoming,3.933,4.203,4.461,4.543,47.0,47.0,43.47°F,"Wyoming / 575,251",Wyoming,840,186582.65448507064,575251,1.4602321421431688,0.004502026205588218,4.502026205588217,,,,,
51,,,,,,,,,,,,Total,2442270,102973881.03858075,314107084,7.7752783187787005,0.023717373525864935,23.717373525864936,,,,,
